lat,lng
38.369,-0.4079999999999999
38.369,-0.4039999999999999
38.369,-0.3999999999999999
38.369,-0.3959999999999999
38.369,-0.3919999999999999
38.372,-0.52
38.372,-0.516
38.372,-0.512
38.372,-0.508
38.372,-0.504
38.372,-0.5
38.372,-0.496
38.372,-0.492
38.372,-0.488
38.372,-0.484
38.372,-0.48
38.372,-0.476
38.372,-0.472
38.372,-0.46799999999999997
38.372,-0.46399999999999997
38.372,-0.45999999999999996
38.372,-0.45599999999999996
38.372,-0.45199999999999996
38.372,-0.44799999999999995
38.372,-0.44399999999999995
38.372,-0.43999999999999995
38.372,-0.43599999999999994
38.372,-0.43199999999999994
38.372,-0.42799999999999994
38.372,-0.42399999999999993
38.372,-0.41999999999999993
38.372,-0.4159999999999999
38.372,-0.4119999999999999
38.372,-0.4079999999999999
38.372,-0.4039999999999999
38.372,-0.3999999999999999
38.372,-0.3959999999999999
38.372,-0.3919999999999999
38.375,-0.52
38.375,-0.516
38.375,-0.512
38.375,-0.508
38.375,-0.504
38.375,-0.5
38.375,-0.496
38.375,-0.492
38.375,-0.488
38.375,-0.484
38.375,-0.48
38.375,-0.476
38.375,-0.472
38.375,-0.46799999999999997
38.375,-0.46399999999999997
38.375,-0.45999999999999996
38.375,-0.45599999999999996
38.375,-0.45199999999999996
38.375,-0.44799999999999995
38.375,-0.44399999999999995
38.375,-0.43999999999999995
38.375,-0.43599999999999994
38.375,-0.43199999999999994
38.375,-0.42799999999999994
38.375,-0.42399999999999993
38.375,-0.41999999999999993
38.375,-0.4159999999999999
38.375,-0.4119999999999999
38.375,-0.4079999999999999
38.375,-0.4039999999999999
38.375,-0.3999999999999999
38.375,-0.3959999999999999
38.375,-0.3919999999999999
38.378,-0.52
38.378,-0.516
38.378,-0.512
38.378,-0.508
38.378,-0.504
38.378,-0.5
38.378,-0.496
38.378,-0.492
38.378,-0.488
38.378,-0.484
38.378,-0.48
38.378,-0.476
38.378,-0.472
38.378,-0.46799999999999997
38.378,-0.46399999999999997
38.378,-0.45999999999999996
38.378,-0.45599999999999996
38.378,-0.45199999999999996
38.378,-0.44799999999999995
38.378,-0.44399999999999995
38.378,-0.43999999999999995
38.378,-0.43599999999999994
38.378,-0.43199999999999994
38.378,-0.42799999999999994
38.378,-0.42399999999999993
38.378,-0.41999999999999993
38.378,-0.4159999999999999
38.378,-0.4119999999999999
38.378,-0.4079999999999999
38.378,-0.4039999999999999
38.378,-0.3999999999999999
38.378,-0.3959999999999999
38.378,-0.3919999999999999
38.381,-0.52
38.381,-0.516
38.381,-0.512
38.381,-0.508
38.381,-0.504
38.381,-0.5
38.381,-0.496
38.381,-0.492
38.381,-0.488
38.381,-0.484
38.381,-0.48
38.381,-0.476
38.381,-0.472
38.381,-0.46799999999999997
38.381,-0.46399999999999997
38.381,-0.45999999999999996
38.381,-0.45599999999999996
38.381,-0.45199999999999996
38.381,-0.44799999999999995
38.381,-0.44399999999999995
38.381,-0.43999999999999995
38.381,-0.43599999999999994
38.381,-0.43199999999999994
38.381,-0.42799999999999994
38.381,-0.42399999999999993
38.381,-0.41999999999999993
38.381,-0.4159999999999999
38.381,-0.4119999999999999
38.381,-0.4079999999999999
38.381,-0.4039999999999999
38.381,-0.3999999999999999
38.381,-0.3959999999999999
38.381,-0.3919999999999999
38.384,-0.52
38.384,-0.516
38.384,-0.512
38.384,-0.508
38.384,-0.504
38.384,-0.5
38.384,-0.496
38.384,-0.492
38.384,-0.488
38.384,-0.484
38.384,-0.48
38.384,-0.476
38.384,-0.472
38.384,-0.46799999999999997
38.384,-0.46399999999999997
38.384,-0.45999999999999996
38.384,-0.45599999999999996
38.384,-0.45199999999999996
38.384,-0.44799999999999995
38.384,-0.44399999999999995
38.384,-0.43999999999999995
38.384,-0.43599999999999994
38.384,-0.43199999999999994
38.384,-0.42799999999999994
38.384,-0.42399999999999993
38.384,-0.41999999999999993
38.384,-0.4159999999999999
38.384,-0.4119999999999999
