place_id,name,address,lat,lng,types,rating,user_ratings_total,price_level,website,phone,summary
ChIJh0bHKiE3Yg0RcRynVP2kt8o,Restaurante Dalacaña 2 Los Angeles,"Calle Diag., 28, 03009 Alicante (Alacant), Alicante, España",38.3647887,-0.4979752,establishment;food;point_of_interest;restaurant,4.6,203,,https://www.instagram.com/dalacana2?igsh=c3doc2N5ejRva2x5,680 29 83 38,
ChIJtXE5Vc47Yg0RtlblXiAARWk,Restaurante MENTXACA,"Camí Reial de la Vila Joiosa, 35, 03560 El Campello, Alicante, España",38.4131601,-0.4055656,establishment;food;point_of_interest;restaurant,4.3,349,,https://linktr.ee/mentxaca,675 05 70 43,
ChIJZQSwVX03Yg0RlzPdb0u2KkA,Daikichi Yakiniku,"Av. Alfonso El Sabio, 03004 Alicante (Alacant), Alicante, España",38.3464375,-0.4899449,establishment;food;point_of_interest;restaurant,4.2,91,,https://www.instagram.com/alicantedaikichi/,865 55 50 69,
ChIJ-VYDJBg3Yg0RjKwFzPNmP2I,El Mercado Garden,"Av. del Padre Esplá, 45, 03013 Alicante (Alacant), Alicante, España",38.3576667,-0.4755259000000001,bar;establishment;food;point_of_interest;restaurant,4.6,33,,,666 66 66 66,
ChIJ2cpioBE2Yg0RZaxCRh7K-GU,Delicious: Comida para llevar,"C. María Guerrero, 42, 03008 Alicante (Alacant), Alicante, España",38.3297822,-0.5140059,establishment;food;health;meal_takeaway;point_of_interest;restaurant;store,4.7,178,,,611 43 91 57,
ChIJbx4ufbw7Yg0Rd81qtjla7eA,CRANKA Restaurant,"San Vicente, 79 (Paseo maritímo, 03560 El Campello, Alicante, España",38.4289804,-0.397816,establishment;food;point_of_interest;restaurant,,,,,965 63 00 64,
ChIJK5ffdkY2Yg0RHkqwZXfq3qo,Cervecería linares,"C/ Pardo Gimeno, 27, 03007 Alacant, Alicante, España",38.3415967,-0.4990474,bar;establishment;food;point_of_interest;restaurant,4.5,35,,,681 04 93 92,
ChIJgf34s4A5Yg0RmoiA7T8G-rA,Pizzeria Alma Libre,"Pau 5 Parque Mariola, Maestro José Garberí Serrano, 2, Local 21, 03540 Alicante (Alacant), Alicante, España",38.3822931,-0.4131044,establishment;food;point_of_interest;restaurant,4.7,893,1,https://almalibrepizzeria.com/,865 94 17 75,
ChIJ0SMgBLI3Yg0RZRgQoYeN9zw,Mish Mish,"Plaça de San Cristóbal, 8, bajo. 03002, 03002 Alacant, Alicante, España",38.3468553,-0.4836403,establishment;food;point_of_interest;restaurant,4.4,4382,2,http://www.mishmish.es/,965 23 06 43,"Restaurante y salón de té con terraza y narguiles, que ofrece platos caseros de comida libanesa."
ChIJi8LG5Yo2Yg0Rn9TK3tDs_Js,Restaurante Llinares,"Av. Deportista Isabel Fernández, 22, 03005 Alicante (Alacant), Alicante, España",38.359797,-0.5082597,establishment;food;point_of_interest;restaurant,4.5,369,2,,618 80 60 54,
ChIJwVsbUbE5Yg0RIDLrehurq_s,Restaurante El Granaino,"Av. de la Condomina, 52, 03540 Alacant, Alicante, España",38.3635311,-0.4258712,bar;establishment;food;point_of_interest;restaurant,3.9,399,1,,670 85 07 21,
ChIJ_0inHqw2Yg0R4YMYI5vw-is,Burger King,"Calle de Alicante, 94 Centro Comercial, Outlet Park, Ctra. San Vicente, Local: I-27 / I-37, 03690 San Vicente del Raspeig, Alicante, España",38.3824835,-0.5063551,establishment;food;meal_takeaway;point_of_interest;restaurant,3.4,3326,1,https://www.burgerking.es/home?utm_source=gmb&utm_medium=local_seo_home&utm_campaign=tracking_seo,660 44 64 73,"Conocida cadena de comida rápida que sirve hamburguesas a la parrilla, patatas fritas y batidos."
ChIJBR5uE2U3Yg0Rp_k71KWxU4w,Bar Flor,"C/ Pintor Velazquez, 1, 03004 Alacant, Alicante, España",38.34920169999999,-0.4864505,bar;establishment;food;point_of_interest;restaurant,4.6,270,,https://instagram.com/bar_flor_alicante?igshid=NTc4MTIwNjQ2YQ==,624 49 97 50,
ChIJOVeFKkQ2Yg0RqCHLMFvgmKQ,Cocinamos Para Usted,"C. San Agatangelo, 22, 03007 Alicante (Alacant), Alicante, España",38.3418979,-0.4999084,establishment;food;meal_takeaway;point_of_interest;restaurant,4.2,74,1,,966 10 65 67,
ChIJZeasFVw7Yg0RX9vseuxXL2w,Foster's Hollywood,"Av. de Miguel Hernández, 113, 03550 Sant Joan d'Alacant, Alicante, España",38.4064914,-0.4270485,establishment;food;point_of_interest;restaurant,4.2,639,2,https://www.fostershollywood.es/restaurante-americano/elche/fh-san-juan?&utm_medium=organic&utm_source=gmb,865 48 34 95,Hamburguesas y comida típica americana y tex-mex en cadena de diners con decoración industrial y de películas.
ChIJlyGqfpY5Yg0Ro1FoIESfGY0,Yummy Place Sant Joan d'Alacant,"Plaza Dr. Antonio Rico, 03550 Sant Joan d'Alacant, Alicante, España",38.3944298,-0.4376236,establishment;food;point_of_interest;restaurant;store,4.8,180,1,http://www.yummymamy.es/yummy-place-sant-joan,865 82 23 12,
ChIJ3_2qvM83Yg0RlQMCiJJCoRk,Mi Andaluza Gastrobar,"Av. Dr. Rico, 4, 03005 Alicante (Alacant), Alicante, España",38.3513721,-0.4968765,bar;establishment;food;point_of_interest;restaurant,4.6,162,,,623 24 55 62,
ChIJLfP7GTE7Yg0REnbKcTtzRSs,La Bodega de Antonio,"Av. d'Alcoi, 18, 03560 El Campello, Alicante, España",38.4220815,-0.3930119,establishment;food;point_of_interest;restaurant,4.7,177,,,865 80 01 03,
ChIJJyeOVdw3Yg0RBbVGZKFvW7E,Vagabond,"Rbla. de Méndez Núñez, 2, 03001 Alicante (Alacant), Alicante, España",38.3438473,-0.4827308999999999,establishment;food;point_of_interest;restaurant,4.7,1198,2,http://vagabond.restaurant/,691 12 22 68,
ChIJp6f8ybs7Yg0R32d4Ogt3xPY,Hostelería Carmen Ruiz Martínez S L,"Carrer de la Trinitat, 6, 03560 El Campello, Alicante, España",38.4276809,-0.4004318,establishment;food;point_of_interest;restaurant,4.5,2,,,965 63 00 81,
ChIJ79juV2c3Yg0RsFeF6XG5pnE,da Giovanni Food & Coffee,"Av. Ciudad León de Nicaragua, 1, 03015 Alicante (Alacant), Alicante, España",38.3597772,-0.4707415999999999,establishment;food;point_of_interest;restaurant,4.9,336,2,https://www.dagiovanni.es/,645 95 23 13,
