place_id,name,address,lat,lng,types,rating,user_ratings_total,price_level,website,phone,summary
ChIJ4WrYWYy2Yw0RSI_-5nAcvOA,La Latería Gastrobar,"C/ Alfonso X el Sabio, 17, 03203 Elx, Alicante, España",38.265101,-0.6936584,bar;establishment;food;point_of_interest;restaurant,4.5,533,2,https://restaurante.covermanager.com/la-lateria/,662 22 49 24,
ChIJ65Kw8IS3Yw0R1mCZYD7cnKM,Racó de joan,"Plaça de les Barques, 6, 03203 Elx, Alicante, España",38.2641468,-0.6989276999999999,establishment;food;point_of_interest;restaurant,4.3,126,,,611 53 96 55,
ChIJx2nCuWi3Yw0RoIUKyXYJimA,Restaurante Avenida 43,"Carrer Vicente Blasco Ibáñez, 43, 03201 Elx, Alicante, España",38.2677982,-0.7040645,establishment;food;point_of_interest;restaurant,4.2,79,,https://www.instagram.com/restauranteavenia43_?igsh=dWRuc3B6amI1eGRk,865 80 74 07,
ChIJ8bcq6wS3Yw0RK2aWIfQavWE,VIPS Smart,"C.C. L'Aljub, Carrer Jacarilla, 7, 03205 Alacant, Alicante, España",38.262393,-0.720603,establishment;food;meal_takeaway;point_of_interest;restaurant,4.5,2752,2,http://www.vips.es/vipsmart,656 89 91 32,"Restaurante informal que sirve hamburguesas, ensaladas, sándwiches, batidos y postres."
ChIJqdtTMAC3Yw0RVWb3aCSvG7s,Supermercado Dialprix,"Carrer Emilio Hernández Selva, 101, 03205 Elx, Alicante, España",38.2700503,-0.7160534,bakery;establishment;food;grocery_or_supermarket;meal_takeaway;point_of_interest;restaurant;store;supermarket,3.8,94,,https://dialprix.es/centro/supermercado-dialprix-elx-carrer-emilio-hernandez-selva-101/?utm_source=G&utm_medium=Local&utm_campaign=Google-Local,966 66 43 12,
ChIJz5wQG3G3Yw0RDsTvXUtT5_Q,Valhöll® | Hamburguesería | Elche,"Carrer Baltasar Brotons Garcia, 3, 03203 Elx, Alicante, España",38.2701567,-0.6774918,establishment;food;point_of_interest;restaurant,4.8,1270,1,http://valhollburger.myrestoo.net/es/reservar,644 94 16 11,
ChIJ04gn8uS3Yw0RG6V9b2ji1-0,La terraza de la pescadería,"Carrer Porta de la Morera, 5, 03203 Elx, Alicante, España",38.26435499999999,-0.6952619999999999,establishment;food;point_of_interest;restaurant,4.3,235,,http://laterrazadelapescaderia.com/,965 42 01 72,
ChIJeRUYdUm3Yw0RfQJSofxr1zM,KEBAB KING,"Av. d'Alacant, 47, 03202 Elx, Alicante, España",38.2694633,-0.6832792,establishment;food;point_of_interest;restaurant,4.3,126,,,632 28 31 74,
ChIJzwUqxYC2Yw0R-U1Z_B7Ec68,Restaurante Lindaraja,"C. Fray Pedro Balaguer, 59, 03202 Elche, Alicante, España",38.2705505,-0.6813277,establishment;food;point_of_interest;restaurant,4.4,174,1,,650 29 42 64,
ChIJ0-FK0ym0Yw0RJO8MtFOgJ60,Pollos Iborra San Antón,"Carrer Alingasa, 2, 03203 Elx, Alicante, España",38.264556,-0.6769282,establishment;food;point_of_interest;restaurant,4.3,67,,http://labarbacoa.es/,965 42 44 32,
ChIJ4T29jqO3Yw0R9fAofY3kvAA,Cervecería La Sureña | Jarras y Tapas,"Carrer Jacarilla, 7, 03205 Elx, Alicante, España",38.2619782,-0.7209142,establishment;food;point_of_interest;restaurant,3.6,38,1,https://jarrasytapas.lasurena.es/es,965 46 04 81,
ChIJd2Rn6b-3Yw0RqxPdkDdqRzA,A Fuego Pizzería,"Carrer Vicente Blasco Ibáñez, 29, 03201 Elx, Alicante, España",38.267752,-0.7030156000000001,establishment;food;point_of_interest;restaurant,4.8,156,,http://www.pizzeriaafuego.com/,614 43 24 27,
