place_id,name,lat,lng,vicinity
ChIJ9d_dhj45Yg0RUo-FLYgHHEY,Chiringuito Saoko,38.3889816,-0.408003,"38°23'20.1""N 0°24'29.0""W, El Campello"
ChIJg1dHJas3Yg0R4OXOzkktv3s,DESPEDIDAS EN BARCO,38.3544423,-0.4874451999999999,"Avinguda Alcoi, 55, Alacant"
ChIJ4Yn4Q7c3Yg0RTGBABVzfR_M,Restaurant Dàrsena,38.3384261,-0.4868109,"Perfecto Palacio de la Fuente, Muelle Poniente, 6, Alicante (Alacant)"
ChIJL6blQi45Yg0RiM2XUQankT4,Villa Bandida Restaurant,38.3614048,-0.4371746,"Calle de la Almadraba, 6B, Alicante (Alacant)"
ChIJD7PpmfY5Yg0RSWqRNc8zDT8,Restaurante Marco & Bo,38.3964907,-0.4365741,"Carrer Pintor Picasso, 2, Sant Joan d'Alacant"
ChIJqcJk65Q2Yg0Rj-OObVkWvOc,McDonald's,38.3746,-0.5074750000000001,"Polígono Industrial, Avenida Universitat, s/n, Alicante (Alacant)"
ChIJMfTdNnM3Yg0R4FtGaHZYGTI,FOOD MATTERS,38.36481969999999,-0.4687041000000001,"Avenida Pintor Xavier Soler, 7, Alacant"
ChIJ18teW4o5Yg0RVnQjVQdUNMo,BUEN GUSTO DONER KEBAP,38.39862,-0.4331963,"Carrer Tomas Capelo, 11, nomero 11 bajo, Sant Joan d'Alacant"
ChIJAUw-9I43Yg0RjAuCQw9FCEM,Yokocho Ramen,38.34761450000001,-0.4874382,"Carrer Poeta Campos Vasallo, 6, Alacant"
ChIJu4AD-rk2Yg0RgE2x9BseDvc,ECOMM PADEL CLUB,38.38862,-0.5113700000000001,"Calle del Acero, 3, San Vicente del Raspeig"
ChIJKWLYnVw3Yg0Rt7FrFNmfwRQ,The VicBros Burger,38.3946073,-0.5144098,"Carrer lo Torrent, 1, Sant Vicent del Raspeig"
ChIJK7XTQgA3Yg0RMbYgWoOW0AE,La Taberna de Lú,38.3518391,-0.4855063000000001,"Calle Pintor Murillo, 2-4, Alicante (Alacant)"
ChIJg6tbaHM3Yg0Raxb7dAx5SoU,Pub Dubliners Alicante,38.3645257,-0.4685804,"Avenida Pintor Xavier Soler, n7, Alacant"
ChIJ_U6hivs3Yg0RHifnXsYgdOU,Templat Cafe & Lunch,38.3578866,-0.4780892,"Calle San Benito, 19, Alicante (Alacant)"
ChIJga6Qyeg2Yg0RbFy4AhdO7xU,Restaurante La Cuineta,38.3738889,-0.4988889,"Avinguda Novelda, 213, Alacant"
ChIJc4JDRwA3Yg0RyCdi_AToZaw,CAFÉ RESTAURANTE MEDTERRANÓ,38.3747829,-0.4848877,"Calle del Olivino, 19, Alicante (Alacant)"
ChIJp_ZIrwo6Yg0RFfoaqFValrc,Restaurante Mesón de Hoyos,38.4182167,-0.4637597999999999,"Carretera Montnegre, 1 km, Mutxamel"
ChIJxbiVR6M5Yg0RAlSgKIs6OnM,El Olivo restaurant,38.37405529999999,-0.4217213999999999,"Carrer Escultor José Gutierrez, 21, Alacant"
ChIJwwxo5r83Yg0RWbyua4yP5Yg,llaollao,38.36716699999999,-0.469276,"Calle José García Sellés, 2, Alicante (Alacant)"
